,name,group,start_time
0,MONTH_12_DAY_02_HOUR_07_MIN_00_SEC_25,LateFusionTransformer,
1,MONTH_12_DAY_02_HOUR_06_MIN_56_SEC_17,MiddleFusionTransformer,
2,MONTH_12_DAY_02_HOUR_06_MIN_51_SEC_52,EarlyFusionTransformer,
3,MONTH_11_DAY_25_HOUR_02_MIN_42_SEC_29,ImageSegBilinear,
4,MONTH_11_DAY_22_HOUR_02_MIN_43_SEC_46,LidarSeg,
5,MONTH_11_DAY_17_HOUR_23_MIN_14_SEC_54,ImageSeg,
6,still-music-10,LateFusionTransformer,
7,logical-terrain-9,EarlyFusionTransformer,
8,ethereal-serenity-8,LateFusionTransformer,
9,ruby-haze-7,MiddleFusionTransformer,
10,sunny-morning-6,EarlyFusionTransformer,
11,fallen-glitter-5,LateFusionTransformer,
12,dulcet-durian-4,MiddleFusionTransformer,
13,kind-disco-3,EarlyFusionTransformer,
14,balmy-grass-2,LidarSeg,
15,scarlet-microwave-1,EarlyFusionTransformer,
